date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,0,PM2.5,37.0,41.0,31.0,38.0,20.0,32.0,32.0,31.0,,40.0,29.0,38.0,39.0,50.0,53.0,49.0,26.0,30.0,32.0,26.0,30.0,15.0,60.0,23.0,72.0,22.0,61.0,61.0,72.0,55.0,41.0,41.0,30.0,37.0,39.0
20200101,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,0,PM10,66.0,68.0,56.0,66.0,49.0,66.0,71.0,61.0,,72.0,60.0,65.0,100.0,102.0,106.0,103.0,33.0,54.0,54.0,34.0,37.0,38.0,69.0,39.0,186.0,25.0,89.0,142.0,132.0,100.0,46.0,63.0,42.0,80.0,71.0
20200101,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,0,AQI,58.0,59.0,53.0,58.0,49.0,58.0,61.0,56.0,,61.0,55.0,58.0,75.0,76.0,78.0,77.0,37.0,52.0,52.0,37.0,43.0,38.0,81.0,39.0,118.0,31.0,83.0,96.0,96.0,75.0,58.0,58.0,43.0,65.0,61.0
20200101,1,PM2.5,34.0,39.0,29.0,33.0,18.0,33.0,28.0,43.0,,29.0,27.0,31.0,32.0,48.0,49.0,46.0,25.0,34.0,35.0,24.0,30.0,15.0,63.0,22.0,61.0,19.0,64.0,68.0,71.0,43.0,28.0,35.0,30.0,35.0,32.0
20200101,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,1,PM10,53.0,63.0,47.0,60.0,37.0,52.0,54.0,74.0,,59.0,77.0,49.0,84.0,101.0,96.0,82.0,28.0,69.0,55.0,30.0,38.0,38.0,73.0,42.0,134.0,28.0,76.0,124.0,140.0,102.0,36.0,58.0,36.0,72.0,72.0
20200101,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,1,AQI,52.0,57.0,47.0,55.0,37.0,51.0,52.0,62.0,,55.0,64.0,49.0,67.0,76.0,73.0,66.0,36.0,60.0,53.0,34.0,43.0,38.0,85.0,42.0,92.0,28.0,86.0,91.0,95.0,76.0,40.0,54.0,43.0,61.0,61.0
