time,level,lat,lon,pressure,wind,number,name
2008-04-14 00:00,热带低压,8.8,121.6,1004,12,200801,Neoguri
2008-04-14 06:00,热带低压,9.0,120.3,1004,12,200801,Neoguri
2008-04-14 12:00,热带低压,9.2,119.2,1002,15,200801,Neoguri
2008-04-14 18:00,热带低压,9.7,118.2,1002,15,200801,Neoguri
2008-04-15 00:00,热带低压,10.2,117.1,1000,15,200801,Neoguri
2008-04-15 06:00,热带风暴,10.6,116.3,998,18,200801,Neoguri
2008-04-15 12:00,热带风暴,11.8,115.3,995,20,200801,Neoguri
2008-04-15 18:00,热带风暴,12.6,114.3,990,23,200801,Neoguri
2008-04-16 00:00,强热带风暴,13.1,113.1,985,28,200801,Neoguri
2008-04-16 06:00,台风,13.4,112.5,975,33,200801,Neoguri
2008-04-16 12:00,台风,13.8,112.4,970,35,200801,Neoguri
2008-04-16 18:00,台风,14.6,112.3,970,35,200801,Neoguri
2008-04-17 00:00,台风,15.2,112.1,965,40,200801,Neoguri
2008-04-17 06:00,台风,15.9,112.0,960,40,200801,Neoguri
2008-04-17 12:00,台风,16.4,111.9,960,40,200801,Neoguri
2008-04-17 18:00,台风,17.1,111.6,960,40,200801,Neoguri
2008-04-18 00:00,台风,17.9,111.4,960,40,200801,Neoguri
2008-04-18 06:00,台风,18.5,111.3,970,35,200801,Neoguri
2008-04-18 12:00,台风,19.1,111.2,975,33,200801,Neoguri
2008-04-18 18:00,强热带风暴,20.1,111.0,990,25,200801,Neoguri
2008-04-19 00:00,热带风暴,20.7,111.4,990,23,200801,Neoguri
2008-04-19 06:00,热带风暴,21.7,112.1,998,18,200801,Neoguri
2008-04-19 12:00,热带低压,22.9,112.9,998,15,200801,Neoguri
2008-04-19 18:00,热带低压,24.5,113.6,1000,12,200801,Neoguri
2008-05-07 00:00,热带低压,7.7,133.3,1004,15,200802,Rammasun
2008-05-07 06:00,热带低压,7.7,132.5,1000,15,200802,Rammasun
2008-05-07 12:00,热带低压,7.9,131.8,1000,15,200802,Rammasun
2008-05-07 18:00,热带风暴,8.2,131.5,996,18,200802,Rammasun
2008-05-08 00:00,热带风暴,8.6,131.3,996,18,200802,Rammasun
2008-05-08 06:00,热带风暴,9.0,131.3,995,20,200802,Rammasun
2008-05-08 12:00,热带风暴,9.6,131.4,990,23,200802,Rammasun
2008-05-08 18:00,强热带风暴,10.2,131.6,990,25,200802,Rammasun
2008-05-09 00:00,强热带风暴,11.1,132.1,985,28,200802,Rammasun
2008-05-09 06:00,台风,12.0,132.1,975,33,200802,Rammasun
2008-05-09 12:00,台风,12.7,132.1,960,40,200802,Rammasun
2008-05-09 18:00,强台风,13.6,132.1,950,45,200802,Rammasun
2008-05-10 00:00,强台风,14.5,132.0,940,50,200802,Rammasun
2008-05-10 06:00,强台风,15.5,132.1,940,50,200802,Rammasun
2008-05-10 12:00,超强台风,16.8,132.0,935,55,200802,Rammasun
2008-05-10 18:00,超强台风,18.1,131.9,935,55,200802,Rammasun
2008-05-11 00:00,超强台风,19.4,131.8,935,55,200802,Rammasun
2008-05-11 06:00,强台风,20.7,132.1,940,50,200802,Rammasun
2008-05-11 12:00,强台风,22.0,132.7,950,45,200802,Rammasun
2008-05-11 18:00,台风,23.6,133.5,960,40,200802,Rammasun
2008-05-12 00:00,台风,25.2,134.5,960,40,200802,Rammasun
2008-05-12 06:00,台风,27.3,135.9,970,35,200802,Rammasun
2008-05-12 12:00,强热带风暴,29.2,138.4,980,30,200802,Rammasun
2008-05-12 18:00,强热带风暴,30.3,140.2,985,25,200802,Rammasun
2008-05-13 00:00,温带气旋,31.8,141.9,990,20,200802,Rammasun
2008-05-13 06:00,温带气旋,32.9,143.8,992,18,200802,Rammasun
2008-05-13 12:00,温带气旋,33.6,145.4,1000,15,200802,Rammasun
2008-05-13 18:00,温带气旋,34.3,147.4,1004,15,200802,Rammasun
2008-05-14 00:00,温带气旋,34.9,149.9,1008,15,200802,Rammasun
2008-05-14 06:00,热带低压,16.4,123.8,1000,15,200803,Matmo
2008-05-14 12:00,热带低压,16.5,123.7,1000,15,200803,Matmo
2008-05-14 18:00,热带低压,16.9,123.7,1000,15,200803,Matmo
2008-05-15 00:00,热带低压,17.7,123.9,998,15,200803,Matmo
2008-05-15 06:00,热带低压,19.1,125.0,998,15,200803,Matmo
2008-05-15 12:00,热带风暴,20.8,126.8,995,18,200803,Matmo
2008-05-15 18:00,热带风暴,22.2,128.3,995,20,200803,Matmo
2008-05-16 00:00,热带风暴,23.9,129.9,990,23,200803,Matmo
2008-05-16 06:00,热带风暴,25.2,132.0,990,23,200803,Matmo
2008-05-16 12:00,热带风暴,26.3,135.8,990,23,200803,Matmo
2008-05-16 18:00,热带风暴,26.9,138.4,995,20,200803,Matmo
2008-05-17 00:00,热带低压,27.2,141.0,1000,15,200803,Matmo
2008-05-14 12:00,热带低压,11.8,116.9,1002,15,200804,Halong
2008-05-14 18:00,热带低压,12.0,116.8,1000,15,200804,Halong
2008-05-15 00:00,热带低压,12.2,116.8,1000,15,200804,Halong
2008-05-15 06:00,热带低压,12.5,116.8,1000,15,200804,Halong
2008-05-15 12:00,热带低压,12.9,116.9,1000,15,200804,Halong
2008-05-15 18:00,热带低压,13.3,117.0,1000,15,200804,Halong
2008-05-16 00:00,热带低压,13.9,117.2,1000,15,200804,Halong
2008-05-16 06:00,热带风暴,14.3,117.5,996,18,200804,Halong
2008-05-16 12:00,热带风暴,14.7,117.7,990,23,200804,Halong
2008-05-16 18:00,热带风暴,15.2,118.2,990,23,200804,Halong
2008-05-17 00:00,强热带风暴,15.6,118.6,990,25,200804,Halong
2008-05-17 06:00,强热带风暴,15.9,119.3,980,30,200804,Halong
2008-05-17 12:00,强热带风暴,16.4,120.1,980,30,200804,Halong
2008-05-17 18:00,强热带风暴,17.0,120.9,990,25,200804,Halong
2008-05-18 00:00,热带风暴,17.6,121.7,990,23,200804,Halong
2008-05-18 06:00,热带风暴,18.6,123.4,990,23,200804,Halong
2008-05-18 12:00,热带风暴,19.2,124.4,990,23,200804,Halong
2008-05-18 18:00,强热带风暴,19.8,125.8,990,25,200804,Halong
2008-05-19 00:00,强热带风暴,21.1,127.2,990,25,200804,Halong
2008-05-19 06:00,强热带风暴,22.0,128.6,985,28,200804,Halong
2008-05-19 12:00,强热带风暴,23.4,130.5,990,25,200804,Halong
2008-05-19 18:00,热带风暴,24.8,133.1,990,23,200804,Halong
2008-05-20 00:00,热带风暴,26.5,135.2,992,20,200804,Halong
2008-05-20 06:00,热带风暴,29.2,139.0,995,18,200804,Halong
2008-05-20 12:00,温带气旋,31.9,142.5,1000,18,200804,Halong
2008-05-20 18:00,温带气旋,33.7,144.8,1000,18,200804,Halong
2008-05-21 00:00,温带气旋,36.2,148.3,1002,15,200804,Halong
2008-05-26 06:00,热带低压,10.7,140.1,1006,13,200805,Nakri
2008-05-26 12:00,热带低压,11.7,139.2,1006,13,200805,Nakri
2008-05-26 18:00,热带低压,12.6,138.7,1006,13,200805,Nakri
2008-05-27 00:00,热带低压,13.7,138.0,1004,15,200805,Nakri
2008-05-27 06:00,热带风暴,14.1,137.6,998,18,200805,Nakri
2008-05-27 12:00,热带风暴,14.3,137.5,995,20,200805,Nakri
2008-05-27 18:00,热带风暴,14.5,137.3,990,23,200805,Nakri
2008-05-28 00:00,强热带风暴,14.9,137.1,990,25,200805,Nakri
2008-05-28 06:00,强热带风暴,15.5,136.9,985,28,200805,Nakri
2008-05-28 12:00,强热带风暴,15.8,136.8,980,30,200805,Nakri
2008-05-28 18:00,台风,16.0,136.5,970,35,200805,Nakri
2008-05-29 00:00,台风,16.1,136.3,960,40,200805,Nakri
2008-05-29 06:00,强台风,16.2,135.8,950,45,200805,Nakri
2008-05-29 12:00,强台风,16.2,135.5,940,50,200805,Nakri
